id_tramite_anterior,descripcion_tramite_anterior,num_orden,id_tramite_siguiente,descripcion_tramite_siguiente
33655,CÁLCULO DEL REINTEGRO DE LA RENUNCIA,2,33660,RESOLUCIÓN DE RENUNCIA CON REINTEGRO
31914,RESOLUCIÓN DE RENUNCIA TOTAL SIN REINTEGRO,1,31920,NOTIFICACIÓN DE RENUNCIA TOTAL SIN REINTEGRO
33644,RESOLUCIÓN CON REINTEGRO PARCIAL - INCUMPLIMIENTO,1,33671,CARTA DE PAGO - REINTEGRO PARCIAL POR INCUMPLIMIENTO
33649,RESOLUCIÓN SIN REINTEGRO - INCUMPLIMIENTO,1,33650,NOTIFICACIÓN SIN REINTEGRO - INCUMPLIMIENTO
33653,RESOLUCIÓN CON REINTEGRO TOTAL - INCUMPLIMIENTO,1,33672,CARTA DE PAGO - REINTEGRO TOTAL POR INCUMPLIMIENTO
33660,RESOLUCIÓN DE RENUNCIA CON REINTEGRO,1,33673,CARTA DE PAGO - RENUNCIA TOTAL CON REINTEGRO
33646,REINTEGRO DE DEUDAS - INCUMPLIMIENTO,1,33661,ENVÍO REINTEGRO A LA BDNS
33646,REINTEGRO DE DEUDAS - INCUMPLIMIENTO,11,33647,PUBLICACIÓN BOCYL RESOLUCIÓN CON REINTEGRO - INCUMPLIMIENTO
33670,REINTEGRO DE DEUDAS,1,33661,ENVÍO REINTEGRO A LA BDNS
33680,REINTEGRO DE DEUDAS - DEVOLUCIÓN VOLUNTARIA,1,33662,ENVÍO DEVOLUCIÓN A LA BDNS
31977,PAGO EFECTIVO,1,31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS
31977,PAGO EFECTIVO,2,33640,ACUERDO INICIO PROCEDIMIENTO REINTEGRO - INCUMPLIMIENTO
31960,TRÁMITE DE AUDIENCIA,1,31917,APLICACIONES PRESUPUESTARIAS (DOC. A)
31960,TRÁMITE DE AUDIENCIA,2,31961,PROPUESTA DE RESOLUCIÓN DESESTIMATORIA (TR. AUDIENCIA)
31961,PROPUESTA DE RESOLUCIÓN DESESTIMATORIA (TR. AUDIENCIA),1,31962,RESOLUCIÓN DESESTIMATORIA (TR. AUDIENCIA)
31925,DOCUMENTO OK: APLICACIONES PRESUPUESTARIAS,1,31923,NOTIFICACIÓN DE CONCESIÓN
31925,DOCUMENTO OK: APLICACIONES PRESUPUESTARIAS,2,31977,PAGO EFECTIVO
33641,TRAMITE DE AUDIENCIA REINTEGRO - INCUMPLIMIENTO,1,33648,PROPUESTA DE RESOLUCIÓN SIN REINTEGRO - INCUMPLIMIENTO
33641,TRAMITE DE AUDIENCIA REINTEGRO - INCUMPLIMIENTO,2,33642,PROPUESTA DE RESOL. CON REINTEGRO PARCIAL - INCUMPLIMIENTO
33641,TRAMITE DE AUDIENCIA REINTEGRO - INCUMPLIMIENTO,3,33652,PROPUESTA DE RESOL. CON REINTEGRO TOTAL - INCUMPLIMIENTO
33643,CÁLCULO DE INTERESES DEL REINTEGRO - INCUMPLIMIENTO,1,33644,RESOLUCIÓN CON REINTEGRO PARCIAL - INCUMPLIMIENTO
33643,CÁLCULO DE INTERESES DEL REINTEGRO - INCUMPLIMIENTO,2,33653,RESOLUCIÓN CON REINTEGRO TOTAL - INCUMPLIMIENTO
33675,CÁLCULO INTERESES DEVOLUCIÓN A INICIATIVA DEL PERCEPTOR,1,33676,PROPUESTA RESOLUCIÓN DEVOLUCIÓN VOLUNTARIA #VTR_38007_33674_TUM_M#
33659,PROPUESTA DE RESOLUCIÓN DE RENUNCIA CON REINTEGRO,1,33655,CÁLCULO DEL REINTEGRO DE LA RENUNCIA
